Dates;Title;Start Time;End Time
09/21/24;St. GIGA - Tides Of Sound;08:00;23:00
09/26/24;St. GIGA - Tides Of Sound;08:00;23:00
09/27/24;St. GIGA - Tides Of Sound;08:00;17:00
09/27/24;City Pop Block;17:00;23:00
10/03/24;St. GIGA - Tides Of Sound;08:00;23:00
10/04/24;St. GIGA - Tides Of Sound;08:00;17:00
10/04/24;City Pop Block;17:00;23:00
10/05/24;City Pop Block;14:35;23:00
10/06/24;SatellaRadio+ - Various;08:00;23:00
10/10/24;St. GIGA - Tides Of Sound;08:00;23:00
10/11/24;St. GIGA - Tides Of Sound;08:00;17:00
10/11/24;City Pop Block;17:00;23:00
10/12/24;SatellaRadio+ - Various;08:00;17:00
10/12/24;City Pop Block;17:00;23:00
10/17/24;St. GIGA - Tides Of Sound;08:00;23:00
10/18/24;St. GIGA - Tides Of Sound;08:00;17:00
10/18/24;City Pop Block;17:00;23:00
10/19/24;SatellaRadio+ - Various;08:00;17:00
10/19/24;City Pop Block;17:00;23:00
10/20/24;SatellaRadio+ - Various;08:00;17:00
10/31/24;Tides of Sound;08:00;17:00
10/31/24;SatellaRadio+ - Halloween Mix;17:00;23:00
11/01/24;Tides of Sound;08:00;17:00
11/01/24;City Pop Block;17:00;23:00
